0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
31   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /mnt/hgfs/data/EmoryGeoBlackLight/jetty/contexts at interval 0
43   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /mnt/hgfs/data/EmoryGeoBlackLight/jetty/contexts/solr.xml
129  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/mnt/hgfs/data/EmoryGeoBlackLight/jetty/webapps/solr.war!/ to /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr-webapp/webapp
2842 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
2987 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
3016 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
3016 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr
3016 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/'
3021 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/lib/contrib/' to classloader
3022 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
3022 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
3022 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
3206 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr/solr.xml
3419 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /mnt/hgfs/data/EmoryGeoBlackLight/jetty/solr
3427 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1752520574
